security_code,security_name,period,available_by,debt_ratio,current_ratio,quick_ratio,cash_ratio,gross_margin,net_margin,roe,ocf_to_revenue,revenue_growth,parent_netprofit,deduct_netprofit,equity,ocf,revenue,negative_equity,last_trade_date,ret_20d,ret_60d,max_drawdown_60d,vol_20d,dist_52w_low,excess_ret_60d
600019,宝钢股份,20260630,2026-08-31,0.39088493999999996,0.954917,0.644805,0.178627,0.05991312,0.031732550000000005,0.0221,0.092171,0.06182821,4571368811.02,4532000000.0,225273437130.25,14814897300.3,160731484167.43002,0,2026-09-24,0.026362038664323295,0.06375227686703089,-0.09477124183006536,0.14143264826236904,0.10815939278937381,0.05368029966786181
000898,鞍钢股份,20260630,2026-08-31,0.55828976,0.570656,0.327731,0.115416,-0.01799289,-0.043108890000000004,-0.046900000000000004,0.036421,-0.055761240000000004,-2047000000.0,-2166000000.0,43008000000.0,1672000000.0,45907000000.0,0,2026-09-24,-0.03398058252427183,0.05291005291005302,-0.06635071090047384,0.2308435428830276,0.06989247311827951,0.04283807571088394
000709,河钢股份,20260630,2026-08-31,0.74657982,0.503008,0.337319,0.251141,0.08936023000000001,0.01123924,0.0105,0.097769,-0.00648294,637577705.75,380154077.82,68631190848.42,6440903819.39,65878488278.22,0,2026-09-24,-0.05633802816901412,0.036082474226803996,-0.08636363636363653,0.21225737327048905,0.05789473684210522,0.026010497027634916
000959,首钢股份,20260630,2026-08-31,0.55304354,0.56543,0.390581,0.158727,0.053531060000000005,0.01062238,0.010900000000000002,0.012699,-0.03176902,549634580.87,523778260.19,55248940660.49,646636807.93,50920150348.14,0,2026-09-24,-0.04469273743016766,-0.05263157894736836,-0.12755102040816324,0.2963160420989972,0.10679611650485432,-0.06270355614653744
000932,华菱钢铁,20260630,2026-08-31,0.57366454,0.930891,0.778357,0.164202,0.07157719,0.00936972,0.0040999999999999995,0.037004,-0.02994782,225323919.94,220190243.03,68354281541.83,2264785921.43,61202998111.03,0,2026-09-24,-0.07258064516129037,-0.03631284916201116,-0.1331658291457286,0.2872340462321135,0.014705882352941346,-0.04638482636118024
600282,南钢股份,20260630,2026-08-31,0.58077398,0.778389,0.53284,0.187684,0.13227595,0.042804,0.0471,0.049566,0.07554214000000001,1322092093.77,1126570405.13,29410121432.74,1543064733.29,31131024593.58,0,2026-09-24,-0.049676025917926414,-0.04139433551198246,-0.12922465208747524,0.1759073403590587,0.004566210045662267,-0.05146631271115154
600808,马钢股份,20260630,2026-08-31,0.5512331300000001,0.59646,0.4236,0.305519,0.048097320000000006,0.0019676,-0.0029,0.099822,-0.0223497,-69898789.0,-222777647.0,36253627872.0,3715856893.0,37224556728.0,0,2026-09-24,-0.0725190839694656,-0.027999999999999914,-0.09665427509293678,0.25699135064922796,0.021008403361344685,-0.038071977199168994
600010,包钢股份,20260630,2026-08-31,0.5848344,0.64868,0.391734,0.155442,0.13885065000000002,0.00051532,0.0054,0.0883,-0.10515152000000001,279377597.15,445209847.15,61540268848.77,2475460225.63,28034371304.31,0,2026-09-24,-0.07929515418502209,-0.05855855855855874,-0.08733624454148481,0.1715968755914153,0.009661835748792313,-0.06863053575772782
000761,本钢板材,20260630,2026-08-31,0.87375393,0.367534,0.153862,0.063385,-0.04841887,-0.08405011999999999,-0.2729,0.031634,-0.09564249999999999,-1907548241.52,-1926587790.58,5794583082.9,706571945.53,22335640944.4,0,2026-09-24,-0.07531380753138084,0.018433179723502224,-0.09795918367346945,0.367426464074852,0.032710280373831724,0.008361202524333144
601003,柳钢股份,20260630,2026-08-31,0.63008744,0.611475,0.325035,0.212661,0.04462138,0.00416409,0.008199999999999999,0.044786,-0.0496116,76118324.74,56054520.67,22815223845.95,1475915544.53,32954695095.04,0,2026-09-24,-0.05163043478260865,0.0,-0.16706443914081148,0.48355805513309813,0.048048048048048075,-0.01007197719916908
