split,file_name,security_code,security_name,announcement_date,target_pattern,announcement_title,source_url,download_date,sha256,page_count,text_char_count,empty_pages,is_text_pdf
backtest_linggang,backtest_linggang_001_600231_pledge.pdf,600231,凌钢股份,2022-01-22,pledge,凌源钢铁股份有限公司股份质押公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2022/2022-1/2022-01-22/7800737.PDF,2026-09-26,ef82d744f126ba543b8e8c446c17c3217e854ef385c6f59263d44376856b8528,2,1462,0,True
backtest_linggang,backtest_linggang_002_600231_related_estimate.pdf,600231,凌钢股份,2022-03-02,related_estimate,凌源钢铁股份有限公司2022年度日常关联交易公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2022/2022-3/2022-03-02/7858436.PDF,2026-09-26,8b63f836e3af821d51b0aed88a3b5ce18a7a4786fc6b7a1640190e4fdd6fc772,18,15588,0,True
backtest_linggang,backtest_linggang_003_600231_pledge.pdf,600231,凌钢股份,2022-04-21,pledge,凌源钢铁股份有限公司关于公司股东股份解除质押的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2022/2022-4/2022-04-21/8023615.PDF,2026-09-26,76eb15c3ebcf26ca26c029cb111935b555832c0e7846b0d6665723c3f243f4d8,2,1104,0,True
backtest_linggang,backtest_linggang_004_600231_guarantee_backtest.pdf,600231,凌钢股份,2022-05-11,guarantee_backtest,凌源钢铁股份有限公司关于为控股股东提供担保的进展公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2022/2022-5/2022-05-11/8199126.PDF,2026-09-26,479eb2c92e79b54f4eb5d01805bb060b9519985e2f9a05814bdfef2032882619,10,8436,0,True
backtest_linggang,backtest_linggang_005_600231_guarantee_backtest.pdf,600231,凌钢股份,2022-05-21,guarantee_backtest,凌源钢铁股份有限公司关于继续开展资产池业务暨为控股股东提供担保的进展公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2022/2022-5/2022-05-21/8233343.PDF,2026-09-26,87f501f6882a9eab4691dcfa8b24528954164b95231f58c1a6fce9b5d3f9acc3,12,10084,0,True
backtest_linggang,backtest_linggang_006_600231_guarantee_backtest.pdf,600231,凌钢股份,2022-06-11,guarantee_backtest,凌源钢铁股份有限公司关于为控股股东提供担保的进展公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2022/2022-6/2022-06-11/8285403.PDF,2026-09-26,217c560b55c0e4bd120213f4eef66c7a891ff9b98a28751b59602e925682a0de,10,8573,0,True
backtest_linggang,backtest_linggang_007_600231_guarantee_backtest.pdf,600231,凌钢股份,2022-06-23,guarantee_backtest,凌源钢铁股份有限公司关于为控股股东提供担保的进展公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2022/2022-6/2022-06-23/8310872.PDF,2026-09-26,877212562a8b7cf2eecca1acf045f4381f9cd63a852bfd83f92a1c4481eda4cd,8,6540,0,True
backtest_linggang,backtest_linggang_008_600231_pledge.pdf,600231,凌钢股份,2022-07-06,pledge,凌源钢铁股份有限公司关于股东股票质押展期的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2022/2022-7/2022-07-06/8344500.PDF,2026-09-26,2de2731e769d91bdb4f6e4edba5898513f01eafc291977061677778e434353eb,2,1429,0,True
backtest_linggang,backtest_linggang_009_600231_pledge.pdf,600231,凌钢股份,2022-08-05,pledge,凌源钢铁股份有限公司关于控股股东所持公司股份解质及再质押的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2022/2022-8/2022-08-05/8400223.PDF,2026-09-26,65db06160e57302a8ee5f64ee87cc00add7ec144cfc253f1b18f05b7aebb80a3,2,1788,0,True
backtest_linggang,backtest_linggang_010_600231_guarantee_backtest.pdf,600231,凌钢股份,2022-08-31,guarantee_backtest,凌源钢铁股份有限公司关于对外提供担保的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2022/2022-8/2022-08-31/8502077.PDF,2026-09-26,b6801ef0614ed1b501fb75ce6261a2d891f18514e810afb4a70a2d528520e525,7,6240,0,True
